Experiment;Structure;Fragment;Species;Date;Green;Survival (%)
MAP;1;1;Pocillopora verrucose;10-3-2020;159.1204409;40
MAP;1;2;Porites cylindrica;10-3-2020;140.1222052;60
MAP;1;3;Pocillopora verrucose;10-3-2020;157.4962981;90
MAP;1;4;Millepora sp;10-3-2020;119.3470986;90
MAP;1;5;Millepora sp;10-3-2020;123.5752204;80
MAP;1;6;Pocillopora verrucose;10-3-2020;158.2687971;90
MAP;1;7;Acropora verweyi;10-3-2020;128.2659116;90
MAP;1;8;Porites cylindrica;10-3-2020;175.3466714;90
MAP;1;9;Acropora verweyi;10-3-2020;134.2778496;100
MAP;1;10;Acropora verweyi;10-3-2020;140.4965719;100
MAP;1;11;Porites cylindrica;10-3-2020;170.8629586;90
MAP;1;12;Pocillopora verrucose;10-3-2020;154.7873229;100
MAP;1;13;Millepora sp;10-3-2020;133.4174858;80
MAP;1;14;Porites cylindrica;10-3-2020;155.864129;90
MAP;1;15;Acropora verweyi;10-3-2020;128.1129225;100
MAP;1;16;Millepora sp;10-3-2020;115.9680799;100
MAP;1;1;Pocillopora verrucose;16-3-2020;129.5711065;100
MAP;1;2;Porites cylindrica;16-3-2020;88.69446253;100
MAP;1;3;Pocillopora verrucose;16-3-2020;126.9172322;100
MAP;1;4;Millepora sp;16-3-2020;79.43701742;90
MAP;1;5;Millepora sp;16-3-2020;81.48713858;80
MAP;1;6;Pocillopora verrucose;16-3-2020;131.8314882;100
MAP;1;7;Acropora verweyi;16-3-2020;57.93533702;100
MAP;1;8;Porites cylindrica;16-3-2020;143.5999674;80
MAP;1;9;Acropora verweyi;16-3-2020;76.40581901;100
MAP;1;10;Acropora verweyi;16-3-2020;57.88155752;100
MAP;1;11;Porites cylindrica;16-3-2020;108.1929827;100
MAP;1;12;Pocillopora verrucose;16-3-2020;122.1714436;100
MAP;1;13;Millepora sp;16-3-2020;93.00670749;80
MAP;1;14;Porites cylindrica;16-3-2020;224.7822251;100
MAP;1;15;Acropora verweyi;16-3-2020;53.63852961;100
MAP;1;16;Millepora sp;16-3-2020;55.82612967;70
MAP;1;1;Pocillopora verrucose;24-3-2020;226.0344489;100
MAP;1;2;Porites cylindrica;24-3-2020;;0
MAP;1;3;Pocillopora verrucose;24-3-2020;200.4381511;100
MAP;1;4;Millepora sp;24-3-2020;183.8210779;70
MAP;1;5;Millepora sp;24-3-2020;176.5576143;90
MAP;1;6;Pocillopora verrucose;24-3-2020;180.7379903;90
MAP;1;7;Acropora verweyi;24-3-2020;93.0305456;100
MAP;1;8;Porites cylindrica;24-3-2020;176.8433263;40
MAP;1;9;Acropora verweyi;24-3-2020;105.3086284;100
MAP;1;10;Acropora verweyi;24-3-2020;78.5809321;100
MAP;1;11;Porites cylindrica;24-3-2020;196.3316413;100
MAP;1;12;Pocillopora verrucose;24-3-2020;219.5262254;100
MAP;1;13;Millepora sp;24-3-2020;163.6879865;50
MAP;1;14;Porites cylindrica;24-3-2020;210.7909759;100
MAP;1;15;Acropora verweyi;24-3-2020;104.7732321;100
MAP;1;16;Millepora sp;24-3-2020;168.4357981;50
MAP;1;1;Pocillopora verrucose;31-3-2020;154.8820271;100
MAP;1;2;Porites cylindrica;31-3-2020;145.2568722;90
MAP;1;3;Pocillopora verrucose;31-3-2020;174.9793048;100
MAP;1;4;Millepora sp;31-3-2020;169.0549201;90
MAP;1;5;Millepora sp;31-3-2020;172.5723008;90
MAP;1;6;Pocillopora verrucose;31-3-2020;145.0015575;90
MAP;1;7;Acropora verweyi;31-3-2020;81.84757214;100
MAP;1;8;Porites cylindrica;31-3-2020;187.1475134;100
MAP;1;9;Acropora verweyi;31-3-2020;164.1860051;100
MAP;1;10;Acropora verweyi;31-3-2020;93.25863793;100
MAP;1;11;Porites cylindrica;31-3-2020;186.3012532;90
MAP;1;12;Pocillopora verrucose;31-3-2020;203.7294711;100
MAP;1;13;Millepora sp;31-3-2020;147.2980702;40
MAP;1;14;Porites cylindrica;31-3-2020;181.8113761;100
MAP;1;15;Acropora verweyi;31-3-2020;100.7024515;100
MAP;1;16;Millepora sp;31-3-2020;215.4413979;70
MAP;1;1;Pocillopora verrucose;7-4-2020;204.7733941;90
MAP;1;2;Porites cylindrica;7-4-2020;184.3363408;90
MAP;1;3;Pocillopora verrucose;7-4-2020;196.8344436;90
MAP;1;4;Millepora sp;7-4-2020;185.0693832;70
MAP;1;5;Millepora sp;7-4-2020;196.5668946;80
MAP;1;6;Pocillopora verrucose;7-4-2020;171.4803786;90
MAP;1;7;Acropora verweyi;7-4-2020;139.5855258;90
MAP;1;8;Porites cylindrica;7-4-2020;185.0670272;30
MAP;1;9;Acropora verweyi;7-4-2020;157.7546562;100
MAP;1;10;Acropora verweyi;7-4-2020;154.5747784;90
MAP;1;11;Porites cylindrica;7-4-2020;201.267567;90
MAP;1;12;Pocillopora verrucose;7-4-2020;164.7564089;90
MAP;1;13;Millepora sp;7-4-2020;198.1147207;20
MAP;1;14;Porites cylindrica;7-4-2020;179.085772;30
