Experiment,Location,Structure,Position,Species,Origin,Treatment,Remarks,Date_0,AVG_0,R_0,G_0,B_0,ControlAVG_0,ControlR_0,ControlG_0,ControlB_0,Survival_0,Cause_0,Comments_0,Date_1,AVG_1,R_1,G_1,B_1,ControlAVG_1,ControlR_1,ControlG_1,ControlB_1,Survival_1,Cause_1,Comments_1,Date_2,AVG_2,R_2,G_2,B_2,ControlAVG_2,ControlR_2,ControlG_2,ControlB_2,Survival_2,Cause_2,Comments_2,Date_3,AVG_3,R_3,G_3,B_3,ControlAVG_3,ControlR_3,ControlG_3,ControlB_3,Survival_3,Cause_3,Comments_3,Date_4,AVG_4,R_4,G_4,B_4,ControlAVG_4,ControlR_4,ControlG_4,ControlB_4,Survival_4,Cause_4,Comments_4,Date_5,AVG_5,R_5,G_5,B_5,ControlAVG_5,ControlR_5,ControlG_5,ControlB_5,Survival_5,Cause_5,Comments_5,Date_6,AVG_6,R_6,G_6,B_6,ControlAVG_6,ControlR_6,ControlG_6,ControlB_6,Survival_6,Cause_6,Comments_6,Date_7,AVG_7,R_7,G_7,B_7,ControlAVG_7,ControlR_7,ControlG_7,ControlB_7,Survival_7,Cause_7,Comments_7,Date_8,AVG_8,R_8,G_8,B_8,ControlAVG_8,ControlR_8,ControlG_8,ControlB_8,Survival_8,Cause_8,Comments_8,Date_9,AVG_9,R_9,G_9,B_9,ControlAVG_9,ControlR_9,ControlG_9,ControlB_9,Survival_9,Cause_9,Comments_9,Date_10,AVG_10,R_10,G_10,B_10,ControlAVG_10,ControlR_10,ControlG_10,ControlB_10,Survival_10,Cause_10,Comments_10,Date_11,AVG_11,R_11,G_11,B_11,ControlAVG_11,ControlR_11,ControlG_11,ControlB_11,Survival_11,Cause_11,Comments_11,Date_12,AVG_12,R_12,G_12,B_12,ControlAVG_12,ControlR_12,ControlG_12,ControlB_12,Survival_12,Cause_12,Comments_12,Date_13,AVG_13,R_13,G_13,B_13,ControlAVG_13,ControlR_13,ControlG_13,ControlB_13,Survival_13,Cause_13,Comments_13,Date_14,AVG_14,R_14,G_14,B_14,ControlAVG_14,ControlR_14,ControlG_14,ControlB_14,Survival_14,Cause_14,Comments_14,Date_15,AVG_15,R_15,G_15,B_15,ControlAVG_15,ControlR_15,ControlG_15,ControlB_15,Survival_15,Cause_15,Comments_15,Date_16,AVG_16,R_16,G_16,B_16,ControlAVG_16,ControlR_16,ControlG_16,ControlB_16,Survival_16,Cause_16,Comments_16
Mineral accretion bleaching,Firefly intertidal,1,1,Pocillopora verrucosa,,MAP,,10-Mar-2021,100.733,101.665,121.266,79.312,175.235,151.389,194.336,180.207,90,,,16-Mar-2021,91.538,113.048,90.839,70.724,185.255,177.259,178.774,199.668,90,,,24-Mar-2021,110.275,100.409,121.837,108.509,130.102,100.418,137.45,152.303,90,,very close up image,31-Mar-2021,114.372,119.581,100.318,105.966,169.076,162.251,165.165,179.595,90,,recovery,07-Apr-2021,123.746,109.793,134.928,126.424,160.216,133.559,168.023,178.871,90,,,14-Apr-2021,107.281,112.832,123.198,113.846,164.768,160.431,169.224,164.892,90,,,21-Apr-2021,109.935,119.027,106.822,103.919,169.34,167.018,163.68,177.622,90,,,05-May-2021,112.959,110.762,111.693,116.479,163.893,148.969,156.159,186.968,85,,,27-May-2021,119.5,133.745,117.277,107.492,204.35,201.658,199.269,212.272,10,,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,1,2,Porites cylindrica,,MAP,,10-Mar-2021,84.897,80.3,102.903,71.378,167.832,145.057,187.267,171.331,60,,,16-Mar-2021,49.063,57.078,48.623,41.501,147.873,139.564,139.793,163.895,80,,,24-Mar-2021,,,,,,,,,0,Dead,Bleached,31-Mar-2021,74.694,78.974,79.844,65.207,143.02,133.361,140.167,155.287,90,,,07-Apr-2021,111.209,102.221,127.714,103.714,168.854,142.455,176.672,187.179,80,,,14-Apr-2021,124.799,136.425,137.835,100.148,152.256,147.793,156.063,153.073,80,,,21-Apr-2021,83.162,92.899,85.014,71.658,132.641,129.624,126.743,141.851,80,,,05-May-2021,119.524,122.394,123.445,112.675,196.22,196.22,167.804,196.22,75,,,27-May-2021,,,,,,,,,0,Dead,piece broken off,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,1,3,Pocillopora verrucosa,,MAP,,10-Mar-2021,102.701,102.421,121.379,84.34,178.158,154.999,196.523,183.011,90,,,16-Mar-2021,79.605,79.605,92.558,79.605,193.126,185.298,185.966,207.883,100,,,24-Mar-2021,125.346,115.803,132.198,128.016,160.809,136.292,168.184,177.874,95,,,31-Mar-2021,116.919,118.754,113.729,118.23,177.755,177.755,165.739,177.755,95,,pink,07-Apr-2021,139.959,125.574,147.385,146.864,183.362,157.777,190.938,201.162,90,,,14-Apr-2021,131.542,130.41,136.974,132.649,174.428,168.269,178.085,176.905,90,,,21-Apr-2021,107.039,112.771,103.482,104.753,168.975,166.442,163.786,176.841,80,,,05-May-2021,,,,,,,,,0,Dead,,27-May-2021,,,,,,,,,0,dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,1,4,Millepora tenera,,MAP,,10-Mar-2021,76.194,86.689,91.462,50.399,177.882,155.579,195.42,182.658,90,,,16-Mar-2021,64.894,115.543,60.236,18.899,200.166,193.466,193.363,213.587,90,,,24-Mar-2021,117.949,139.91,132.238,81.687,192.358,192.358,183.443,192.358,70,,bleaching occuring,31-Mar-2021,121.212,146.227,124.142,93.295,189.839,183.269,187.254,198.919,70,,,07-Apr-2021,128.288,123.383,140.742,127.622,187.763,163.007,193.923,206.046,70,,,14-Apr-2021,128.963,143.872,137.906,105.062,187.753,163.393,193.885,205.763,70,,,21-Apr-2021,113.168,131.774,111.121,96.621,184.447,182.344,178.971,192.159,70,,,05-May-2021,126.846,145.785,128.883,105.869,195.523,182.917,188.395,214.988,60,,,27-May-2021,71.143,108.711,67.491,37.241,204.625,204.625,195.986,204.625,80,,same fragment as pic 16,24-Jun-2021,43.673,81.922,35.963,13.162,203.87,206.14,198.843,206.791,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,1,5,Millepora tenera,,MAP,,10-Mar-2021,72.952,83.69,91.561,43.553,170.291,147.823,188.938,174.318,60,,,16-Mar-2021,52.724,92.079,49.27,16.814,161.46,154.288,154.182,175.761,70,,,24-Mar-2021,105.297,126.459,119.13,70.288,164.283,140.137,172.058,180.599,75,,,31-Mar-2021,104.16,114.846,107.409,104.18,161.69,155.601,158.712,170.832,70,,,07-Apr-2021,134.291,121.695,147.234,133.892,182.834,156.847,191.002,200.466,70,,,14-Apr-2021,114.396,114.396,137.702,114.396,190.627,188.008,193.768,190.08,60,,,21-Apr-2021,136.72,144.476,135.118,130.569,192.044,189.721,186.683,200.069,20,,,05-May-2021,128.932,123.391,129.462,133.981,213.684,213.684,186.475,213.684,10,,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,1,6,Pocillopora verrucosa,,MAP,,10-Mar-2021,101.213,104.347,119.735,79.577,174.618,152.805,192.915,178.322,90,,,16-Mar-2021,93.726,114.863,91.109,75.2,182.904,175.249,176.231,197.254,100,,,24-Mar-2021,96.462,88.183,103.84,97.392,138.744,111.661,146.506,157.823,95,,Pink,31-Mar-2021,78.928,84.793,76.67,75.242,137.673,131.618,134.832,146.654,95,,pink,07-Apr-2021,105.439,93.17,113.596,132.712,160.658,133.209,168.923,179.611,90,,,14-Apr-2021,115.513,115.513,133.124,115.513,181.349,178.676,184.575,180.923,95,,,21-Apr-2021,87.597,93.869,84.26,84.554,136.19,132.53,130.511,145.61,80,,,05-May-2021,114.525,112.317,113.781,117.495,153.916,136.445,147.367,178.179,30,,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,1,7,Acropora verweyi,,MAP,,10-Mar-2021,61.496,61.496,88.507,61.496,155.927,132.24,175.957,159.804,70,,,16-Mar-2021,39.044,54.276,35.234,27.629,162.582,151.702,155.081,180.744,90,,,24-Mar-2021,49.334,53.938,54.463,39.594,141.811,115.446,149.285,160.454,85,,,31-Mar-2021,48.031,58.682,46.985,38.435,149.23,140.733,146.384,160.32,95,,,07-Apr-2021,89.216,82.58,98.722,86.299,173.368,148.704,180.349,190.975,90,,,14-Apr-2021,100.838,108.205,110.365,83.941,168.32,160.36,172.953,171.816,90,,,21-Apr-2021,84.656,96.318,84.809,72.864,164.024,161.294,158.649,172.444,70,,,05-May-2021,,,,,,,,,0,Dead,Not dead?,27-May-2021,,,,,,,,,0,Dead,same fragment as pic 10,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,1,8,Porites cylindrica,,MAP,,10-Mar-2021,111.628,109.175,130.209,95.435,170.672,147.412,189.358,175.441,50,,,16-Mar-2021,87.362,90.229,86.343,85.369,160.695,147.087,153.325,181.66,60,,,24-Mar-2021,99.276,89.938,110.749,97.184,151.817,124.242,159.695,171.239,40,,,31-Mar-2021,99.334,108.106,102.002,87.996,142.189,136.817,138.984,150.813,50,,,07-Apr-2021,130.518,119.203,144.009,128.345,191.048,166.985,198.427,207.784,30,,,14-Apr-2021,133.488,144.224,144.119,112.2,189.045,184.967,191.702,190.896,20,,,21-Apr-2021,102.769,114.958,102.187,91.378,162.813,160.485,157.388,170.719,20,,,05-May-2021,,,,,,,,,0,dead,,27-May-2021,,,,,,,,,0,Dead,same fragment as pic 15,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,1,9,Acropora verweyi,,MAP,,10-Mar-2021,86.002,92.094,100.146,65.743,172.982,151.082,190.182,177.565,100,,,16-Mar-2021,64.094,90.996,57.681,43.663,160.695,193.369,192.507,210.379,100,,,24-Mar-2021,70.184,76.419,77.235,56.911,179.73,152.263,187.021,199.559,95,,,31-Mar-2021,136.5,160.214,133.706,115.605,210.046,203.751,207.661,218.681,95,,,07-Apr-2021,102.151,93.742,111.707,100.946,172.956,146.653,180.567,191.341,95,,CLOSE UP PIC,14-Apr-2021,110.917,110.394,119.473,102.914,151.919,139.093,158.411,158.014,95,,,21-Apr-2021,66.004,70.448,64.169,63.223,129.741,125.595,122.997,140.704,95,,,05-May-2021,102.382,95.808,102.983,108.348,159.052,143.434,152.073,181.674,95,,,27-May-2021,88.388,92.095,87.007,86.015,117.964,110.098,111.28,132.338,90,,,24-Jun-2021,39.372,64.824,33.651,19.682,184.503,183.992,178.939,190.513,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,1,10,Acropora verweyi,,MAP,,10-Mar-2021,85.908,89.294,99.487,68.916,160.705,137.861,180.568,163.954,100,,,16-Mar-2021,45.684,63.464,40.841,32.77,186.276,175.614,179.927,203.21,100,,,24-Mar-2021,47.983,55.02,53.109,35.82,163.993,137.129,172.342,182.346,95,,,31-Mar-2021,72.611,91.542,70.219,56.077,204.667,204.667,192.002,204.667,95,,,07-Apr-2021,104.905,97.041,113.253,104.387,196.481,196.481,186.832,196.481,80,,Broken,14-Apr-2021,105.09,106.319,111.004,97.992,177.586,168.148,181.496,183.022,80,,,21-Apr-2021,85.114,91.2,81.888,82.145,164.194,161.42,158.399,173.205,80,,,05-May-2021,86.039,86.039,83.335,86.039,171.999,157.145,165.311,193.403,70,,,27-May-2021,80,90,80,90,120,110,110,130,70,,"Missing data, data imputed from similar fragment",24-Jun-2021,36.598,62.581,30.479,16.789,175.838,175.874,169.75,181.816,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
